t1,T2,T5,T8,T10,t12,T13,T14,T3,T9
1/1996/6874 0 ,"Bisher keine Angaben
AEG-Produktsammlung","Objektmaß LxBxH: 250 x 90 x 70 mm
Masse: 0,22 kg",RZ 2.R 15.F 09.B 04,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6874-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6874-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6874-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v",1940 - 1960,Eisenblech,Depot des DTM
1/1996/6874 01,"Bisher keine Angaben
AEG-Produktsammlung","Objektmaß HxBxT: 15 x 58 x 70 mm (Pilz)
Objektmaß HxBxT: 13 x 52 x 70 mm (Glocke)
Objektmaß HxBxT: 14 x 65 x 67 mm (Stern/Schneeflocke)
Objektmaß HxBxT: 15 x 30 x 67 mm (Halbmond)
Objektmaß HxBxT: 13 x 66 x 70 mm (Herz)
Masse: 0,02 kg gesamt",RZ 2.R 15.F 09.B 04,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6874-001-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6874-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6874-001-002.JPG",1940 - 1960,Eisenblech,Depot des DTM
1/1996/6875 0 ,"Bisher keine Angaben
AEG-Produktsammlung","Objektmaß LxBxH: 210 x 80 x 30 mm
Masse: 0,03 kg",RZ 2.R 15.F 09.B 04,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6875-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6875-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6875-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v",1940 - 1960,Metall,Depot des DTM
1/1996/6876 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Ø Höhe: 120 x 130 mm
Masse: 0,2 kg",RZ 2.R 15.F 12.B 03,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6876-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6876-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6876-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v",ca. 1930,Kunststoff (u.a. Tenacit),Depot des DTM
1/1996/6877 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Ø Höhe: 95 x 290 mm
Masse: 0,58 kg",RZ 2.R 15.F 09.B 06,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6877-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6877-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6877-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v",um 1950,"Metall, Bakelit, Gummi",Depot des DTM
1/1996/6881 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Objektmaß LxBxH: 310 x 35 x 200 mm
Masse: 0,16 kg",RZ 2.R 15.F 09.B 04,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6881-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6881-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6881-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v","Herst.-Zeitraum, um 1970",Textilgewebe,Depot des DTM
1/1996/6882 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Objektmaß HxBxT: 140 x 215 x 160 mm
Masse: 0,56 kg (Gerät mit Deckel)
Ø Höhe: 64 x 85 mm (1 Portionsglas)
Masse: 0,17 kg (1 Portionsglas)",RZ 2.R 15.F 08.B 01,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6882-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6882-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6882-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve","Herst.-Zeitraum, um 1980","Kunststoff, Metall",Depot des DTM
1/1996/6883 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 155 x 95 x 205 mm
Masse: 0,98 kg",RZ 2.R 15.F 08.B 03,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6883-000-000.jpg
\.
\.
\.
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6883-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6883-000-002.JPG
\\dtmbgw2\museumplus\Objek","Herst.-Zeitraum, 1972 - 1974
Herstellungsjahr, 1973
Herst.-Zeitraum, 1973 - 1974","Kunststoff, Metall",Depot des DTM
1/1996/6884 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 160 x 95 x 165 mm
Masse: 1,18 kg",RZ 2.R 15.F 08.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6884-000-006.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6884-000-007.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6884-000-008.JPG
\\dtmbgw2\museumplus\Objektbilder\ve","Herst.-Zeitraum, ca. 1963 - 1974
Herst.-Zeitraum, 1972 - 1974
Herstellungsjahr, 1973","Kunststoff, Metall",Depot des DTM
1/1996/6885 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Ø Höhe: 79 x 160 mm
Masse: 0,54 kg",RZ 2.R 15.F 08.B 03,,,"\.
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6885-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6885-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6885-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder","Herst.-Zeitraum, 1969 - 1972","Kunststoff, Metall",Depot des DTM
1/1996/6886 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Ø Höhe: 90 x 160 mm
Masse: 0,58 kg",RZ 2.R 15.F 08.B 03,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6886-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6886-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6886-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve","Herst.-Zeitraum, 1973 - 1976","Kunststoff, Metall",Depot des DTM
1/1996/6887 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 100 x 80 x 180 mm
Masse: 0,62 kg",RZ 2.R 15.F 08.B 03,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6887-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6887-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6887-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve","Herst.-Zeitraum, 1977 - 1979","Kunststoff, Metall",Depot des DTM
1/1996/6888 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 165 x 100 x 165 mm
Masse: 1,2 kg",RZ 2.R 15.F 08.B 03,,,"\.
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6888-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6888-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6888-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder","Herst.-Zeitraum, ca. 1963 - 1974
Herstellungsjahr, 1968","Kunststoff, Metall",Depot des DTM
1/1996/6889 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 160 x 84 x 168 mm
Masse: 0,86 kg",RZ 2.R 15.F 08.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6889-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6889-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6889-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve","Herst.-Zeitraum, 1971 - 1974
Herst.-Zeitraum, 1973 - 1974
Herstellungsjahr, 1974","Kunststoff, Metall",Depot des DTM
1/1996/6890 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Objektmaß LxBxH: 150 x 100 x 165 mm
Masse: 1,18 kg",RZ 2.R 15.F 08.B 03,,"Heiligenstein, Hans. Elektrische Geräte für Haushalt und Gewerbe. Giessen: Pfanneberg, 1964.","\.
\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6890-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6890-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6890-000-002.JPG
\\dtmbgw2\museumplus\Objektbilde","Herstellungsjahr, 1962","Kunststoff, Metall",Depot des DTM
1/1996/6891 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 160 x 100 x 163 mm
Masse: 1,14 kg",RZ 2.R 15.F 08.B 03,,,"\.
\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6891-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6891-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6891-000-002.JPG
\\dtmbgw2\museumplus\Objektbilde","Herst.-Zeitraum, ca. 1963 - 1974
Herst.-Zeitraum, 1968 - 1970
Herstellungsjahr, 1968","Kunststoff, Metall",Depot des DTM
1/1996/6948 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß LxBxH: 240 x 150 x 290 mm
Masse: 1,7 kg",RZ 2.R 15.F 06.B 05,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6948-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6948-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6948-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v","Herst.-Zeitraum, 1978 - 1979","Kunststoff, Metall, Glas",Depot des DTM
1/1996/6949 0 ,"AEG-Telefunken AG
AEG-Produktsammlung","Objektmaß TxBxH: 110 x 230 x 250 mm
Masse: 1,16 kg",RZ 2.R 15.F 06.B 03,,,"\.
\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6949-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6949-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6949-000-002.JPG
\\dtmbgw2\museumplus\Objektbilde","Herst.-Zeitraum, 1969 - 1974","Kunststoff, Glas, Metall",Depot des DTM
1/1996/6950 0 ,"AEG-Telefunken AG
Schott & Gen. Mainz, Jenaer Glas, Kanne
AEG-Produktsammlung","Objektmaß LxBxH: 230 x 190 x 340 mm
Masse: 1,96 kg",RZ 2.R 15.F 06.B 05,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6950-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6950-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6950-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v","Herst.-Zeitraum, 1980er Jahre","Kunststoff, Glas, Metall",Depot des DTM
1/1996/6951 0 ,"AEG-Telefunken AG
Schott & Gen. Mainz, Jenaer Glas
AEG-Produktsammlung","Objektmaß LxBxH: 270 x 170 x 290 mm
Masse: 2,34 kg",RZ 2.R 15.F 07.B 03,,,"\\DTMBGW2\MUSEUMPLUS\OBJEKTBILDER\VERKNÜPFT\1996\\1-1996-6951-000-000.jpg
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6951-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6951-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\v","Herst.-Zeitraum, 1974 - 1977","Kunststoff, Glas, Metall",Depot des DTM
1/1996/6952 0 ,"AEG-Telefunken AG
AEG-Produktsammlung
Schott & Gen. Mainz, Jenaer Glas","Objektmaß LxBxH: 310 x 150 x 300 mm
Masse: 3,06 kg",RZ 2.R 15.F 06.B 03,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6952-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6952-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6952-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",ca. 1970,"Glas, Kunststoff, Metall",Depot des DTM
1/1996/6953 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Objektmaß LxBxH: 295 x 120 x 310 mm
Masse: 2,14 kg",RZ 2.R 15.F 07.B 01,,"Heiligenstein, Hans. Elektrische Geräte für Haushalt und Gewerbe. Giessen: Pfanneberg, 1964.","\.
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6953-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6953-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6953-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder",1966,"Metall, Kunststoff, Glas",Depot des DTM
1/1996/6954 0 ,"Allgemeine Elektricitäts-Gesellschaft AEG AG
AEG-Produktsammlung","Objektmaß LxBxH: 260 x 160 x 420 mm
Masse: 1,88 kg",RZ 2.R 15.F 07.B 06,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6954-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6954-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\1996\1-1996-6954-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1930er Jahre,"Metall (Messing vernickelt, Aluminium), Rohrgeflecht, Holz",Depot des DTM
